learning_rate,best_epoch,best_validation_loss,best_validation_accuracy
0.0001,29,0.9962266271235938,0.6415373244641537
0.0005,12,1.0142177431475914,0.6407982261640798
0.001,10,1.0332427194007485,0.631189948263119
0.005,10,1.108440751863777,0.6031042128603105
0.01,3,1.186570643673803,0.5702143385070214
