architecture,hidden_dimensions,best_epoch,best_validation_loss,best_validation_accuracy
256,[256],38,0.9885055885787197,0.6430155210643016
512,[512],21,0.9910435718866251,0.6430155210643016
256_128,"[256, 128]",27,0.9941573405565374,0.6371027346637103
128,[128],38,1.0020764108419595,0.6293422025129343
